here,worst_riskclass_l3m,no_daysarrs1_29_evr,capo_enqs_ever_cb,no_guarantors_mdi,worst_accstatus_l12m,customer_marital_status,no_daysarrs90_119_evr,no_daysarrs0_l3m,customer_employment_type,curbal_ugx,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,Uganda_CS_Scr
0.357025353,20,1,3, ,30,M,0,1,0,33328761,68,61,57,71,67,66,66,57,66,61,640
0.504073814,20,22,6,0,60,M,0,1,0,217185319,68,43,52,72,49,66,66,57,66,61,600
0.417385613,20,25,1, ,60,M,1,1,0,77289144,68,43,57,71,49,66,58,57,66,61,596
0.013835448,60,3,2, ,60,M,1,0, ,86377184,25,57,57,71,49,66,58,57,58,61,559
0.884180414,20,0,5, ,30,S,0,1,0,96217354,68,71,52,71,67,67,66,57,66,61,646
0.731989185,60,8,1, ,60,S,2,0,0,47929498,25,51,57,71,49,67,56,57,66,61,560
0.65965272,20,14,1, ,60,M,0,0,0,0,68,43,57,71,49,66,66,57,66,66,609
0.734230015,20,6,2, ,60,M,0,1,0,103067451,68,51,57,71,49,66,66,57,66,61,612
0.440048149,0,1, , ,60,M,2,0,0,25889801,67,61,65,71,49,66,56,57,66,61,619
0.417473511,20,3, , ,60,M,0,1,0,19533097,68,57,65,71,49,66,66,57,66,61,626
0.818333041,20,1,1, ,30,M,0,1,0,62259760,68,61,57,71,67,66,66,57,66,61,640
0.273557257,20,0,2, ,60,M,0,1, ,45483058,68,71,57,71,49,66,66,57,58,61,624
0.33440012,60,12,2, ,60,M,1,0, ,205907000,25,43,57,71,49,66,58,57,58,61,545
0.259045076,20,0, , ,30,S,0,1, ,9295607,68,71,65,71,67,67,66,57,58,62,652
0.711996767,20,28,2, ,30,S,0,1,0,24657714,68,43,57,71,67,67,66,57,66,61,623
0.62802707,20,0,1,0,30,S,0,1,0,12766590,68,71,57,72,67,67,66,57,66,61,652
0.833958825,20,2,4,0,30,M,0,7,0,18114100,68,57,57,72,67,66,66,68,66,61,648
0.871647818,20,0,1, ,30,M,0,1,0,14686548,68,71,57,71,67,66,66,57,66,61,650
0.77860022,20,2,2,2,30,M,14,1,0,20895299,68,57,57,53,67,66,54,57,66,61,606
